Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Bradley Beal,SG,26,WAS,57,57,36.0,10.4,22.9,.455,3.0,8.4,.353,7.4,14.4,.515,.520,6.8,8.0,.842,0.9,3.3,4.2,6.1,1.2,0.4,3.4,2.2,30.5
Dāvis Bertāns,PF,27,WAS,54,4,29.3,4.9,11.3,.434,3.7,8.7,.424,1.2,2.6,.471,.598,1.9,2.3,.852,0.6,3.9,4.5,1.7,0.7,0.6,1.1,2.6,15.4
Isaac Bonga,SF,20,WAS,66,49,18.9,1.8,3.5,.504,0.4,1.1,.352,1.4,2.5,.571,.558,1.0,1.3,.812,1.1,2.3,3.4,1.2,0.7,0.3,0.9,2.4,5.0
Troy Brown Jr.,SF,20,WAS,69,22,25.8,4.0,9.0,.439,0.9,2.6,.341,3.1,6.4,.479,.488,1.6,2.0,.784,1.1,4.4,5.6,2.6,1.2,0.1,1.1,1.9,10.4
Thomas Bryant,C,22,WAS,46,36,24.9,5.3,9.1,.581,0.8,2.0,.407,4.5,7.1,.630,.626,1.9,2.5,.741,2.1,5.1,7.2,1.8,0.5,1.1,1.2,2.2,13.2
Chris Chiozza,PG,24,WAS,10,0,12.3,1.0,3.4,.294,0.7,1.6,.438,0.3,1.8,.167,.397,0.0,0.0,0,0.0,1.5,1.5,2.8,1.0,0.2,0.9,1.2,2.7
Jerian Grant,SG,27,WAS,6,0,13.3,1.7,4.5,.370,0.3,1.3,.250,1.3,3.2,.421,.407,0.8,1.2,.714,0.3,0.7,1.0,1.5,0.2,0.2,0.5,1.8,4.5
Rui Hachimura,PF,21,WAS,48,48,30.1,5.3,11.4,.466,0.5,1.8,.287,4.8,9.5,.500,.489,2.4,2.9,.829,1.6,4.5,6.1,1.8,0.8,0.2,1.1,2.2,13.5
Ian Mahinmi,C,33,WAS,38,35,21.3,2.7,5.5,.495,0.1,0.7,.192,2.6,4.8,.538,.507,1.8,3.0,.619,2.1,3.7,5.7,1.3,0.8,1.2,1.2,3.0,7.4
Garrison Mathews,SG,23,WAS,18,0,12.6,1.3,3.1,.429,1.1,2.6,.413,0.3,0.6,.500,.598,1.7,1.9,.912,0.3,1.0,1.3,0.6,0.4,0.1,0.4,1.8,5.4
Jordan McRae,SG,28,WAS,29,4,22.6,4.6,10.9,.420,1.4,3.7,.377,3.2,7.3,.441,.483,2.2,2.9,.771,0.6,3.0,3.6,2.8,0.7,0.5,1.3,2.1,12.8
C.J. Miles,SF,32,WAS,10,0,16.1,1.9,5.9,.322,1.1,3.5,.314,0.8,2.4,.333,.415,1.5,2.0,.750,0.4,0.8,1.2,1.2,1.0,0.4,0.4,1.4,6.4
Shabazz Napier,PG,28,WAS,20,10,24.4,3.7,8.7,.428,1.5,4.1,.358,2.3,4.6,.489,.512,2.7,3.3,.831,0.5,2.0,2.4,3.8,1.5,0.2,2.6,2.0,11.6
Anžejs Pasečņiks,C,24,WAS,27,0,16.2,2.3,4.3,.526,0.0,0.1,.000,2.3,4.2,.540,.526,1.3,2.1,.586,1.6,2.4,4.0,0.7,0.3,0.4,0.9,2.8,5.8
Gary Payton II,SF,27,WAS,29,17,14.9,1.7,4.0,.414,0.4,1.6,.283,1.2,2.4,.500,.470,0.1,0.3,.500,0.9,1.9,2.8,1.7,1.1,0.2,0.7,1.9,3.9
Jerome Robinson,SG,22,WAS,21,5,24.0,3.3,8.3,.397,1.4,4.1,.349,1.9,4.2,.443,.483,1.4,1.8,.763,0.4,2.9,3.3,2.0,0.7,0.4,1.1,2.7,9.4
Justin Robinson,PG,22,WAS,9,0,5.4,0.6,1.3,.417,0.3,0.6,.600,0.2,0.8,.286,.542,0.0,0.0,0,0.1,0.4,0.6,0.8,0.0,0.1,0.3,0.2,1.4
Admiral Schofield,PF,22,WAS,33,2,11.2,1.1,2.8,.380,0.6,1.8,.311,0.5,0.9,.516,.484,0.3,0.5,.667,0.2,1.2,1.4,0.5,0.2,0.1,0.2,1.5,3.0
Ish Smith,PG,31,WAS,68,23,26.3,4.5,10.1,.447,0.9,2.5,.367,3.6,7.6,.473,.492,0.9,1.3,.721,0.4,2.8,3.2,4.9,0.9,0.4,1.4,1.6,10.9
Isaiah Thomas,PG,30,WAS,40,37,23.1,4.4,10.7,.408,2.0,4.7,.413,2.4,5.9,.405,.500,1.6,1.9,.816,0.3,1.4,1.7,3.7,0.3,0.2,1.9,1.9,12.2
Jarrod Uthoff,PF,26,WAS,3,0,13.0,2.0,3.7,.545,1.0,1.7,.600,1.0,2.0,.500,.682,0.0,0.0,0,0.3,1.3,1.7,0.0,0.0,0.0,0.0,0.3,5.0
Moritz Wagner,C,22,WAS,45,5,18.6,3.2,5.9,.545,0.6,1.8,.313,2.7,4.1,.645,.592,1.7,2.1,.821,1.2,3.6,4.9,1.2,0.6,0.4,1.5,3.4,8.7
Johnathan Williams,PF,24,WAS,15,6,12.0,1.3,2.3,.559,0.0,0.1,.000,1.3,2.1,.594,.559,0.5,0.9,.538,1.6,2.7,4.3,0.5,0.1,0.5,0.3,1.1,3.0
